key,en,de,es,fr,zh
T_DARK,Dark,Dunkle,de la Oscuridad,Sombre,黑暗
T_DARTH_SHADER,Darth Shader,Darth Shader,Sombra oscura,Dark Shader,达斯着色器
T_DASH_AND_PUSH_DESCRIPTION,Dash to the target and push it.,Sprinte und schiebe das Ziel.,Lánzate contra el enemigo y empújalo.,Charge vers la cible et la repousse.,冲向目标并推动它。
T_DASH_AND_PUSH,Dash and Push,Sprint und Schub,Lanzarse y empujar,Charge-télékinétique,冲刺和推动
T_DASH_AND_SLASH_DESCRIPTION,Dash to the target and attack it.,Sprinte zum Ziel und attackiere es.,Lánzate contra el enemigo y atácalo.,Charge vers la cible et inflige des dommages.,冲向目标并攻击它。
T_DASH_AND_SLASH,Dash and Slash,Sprintattacke,Lanzarse y atacar,Charge-attaque,冲刺与砍杀
T_DASH,Dash,Sprint,Lanzarse,Charge,潇洒
T_DEATH_DESCRIPTION,Die. That's it. That's the achievement.,Stirb. Das war's. Das ist die Errungenschaft.,Muere. Eso es todo. Ese es el logro.,Mourir. Tout simplement.,死亡。就这样而已。这就是成就。
T_DEATH,Death,Tod,Muere,Mort,死亡
T_DEMO,Demo,Demo,Demo,Démo,演示
T_DEVICE,Device,Gerät,Dispositivo,Dispositif,设备
T_DIFFICULTY,Difficulty,Schwierigkeitsgrad,Dificultad,Difficulté,难度
T_DIODE_DESCRIPTION,Has two cycles per turn.,Hat zwei Zyklen pro Runde.,Tiene dos ciclos por turno.,Possède deux cycles par tour.,每回合有两个循环。
T_DIODE,Diode,Diode,Diodo,Diode,二极管
T_DISABLE_GRAYSCALE,Disable grayscale filter,Graustufenfilter deaktivieren,Desactivar filtro de escala de grises,Désactiver le filtre visuel gris,禁用灰度过滤
T_DOUBLE_SHIELDS_DESCRIPTION,Double your current shields.,Verdoppelt deine aktuellen Schilde.,Duplica tus escudos actuales.,Double la valeur actuelles des boucliers.,将你目前的护盾翻倍。
T_DOUBLE_SHIELDS,Double Shields,Schilde verdoppeln,Duplicar escudos,Amplificateur de boucliers,双面护盾
T_DYE_HARD,Dye Hard,Dye Hard,Duro de pelar,Die Hard,生死由命
T_EHMPERIAL_GUARD,Ehmperial Guard,Ehmperialer Wächter,Guardia ehmperial,Garde Ehmpérial,国民警卫队
T_ELUSIVE_DESCRIPTION,Beat level 1-25 without getting hit.,"Schaffe Level 1-25, ohne getroffen zu werden.",Completa el nivel 1-25 sin que te golpeen.,Compléter les niveaux 1 à 25 sans être touché.,在不被击中的情况下击败第1-25关。
T_ELUSIVE,Elusive,Ausweichend,Esquivo,Insaisissable,难以捉摸
T_EMITTER,Emitter,Emitter,Emisor,Émetteur,发射器
T_EMPTY_SLOT,Empty Slot,Leerer Steckplatz,Ranura vacía,Emplacement vide,空槽
T_END_OF_THE_BEGINNING_DESCRIPTION,Clear level 50.,Schaffe Level 50.,Completa el nivel 50.,Compléter le niveau 50.,通关50级。
T_END_OF_THE_BEGINNING,The End of the Beginning,Das Ende des Anfangs,El fin del principio,La Fin du Début,开始的结束
T_ENEMIES,Enemies,Feinde,Enemigos,Ennemis,敌人们
T_ENEMY,Enemy,Feind,Enemigo,Ennemi,敌人
T_ENTER_NAME,Enter your name for the leaderboard.,Gib deinen Namen für die Rangliste ein.,Escribe tu nombre en la tabla de clasificación.,Entrez votre pseudo pour le Classement.,输入排行榜中显示的名称。
T_ENTROPIC,Entropic,Entropisch,Entrópico,Entropique,熵
T_EQUIP,Install,Installiere,Instalar,Installer,安装
T_EVADE_DESCRIPTION,Chance to evade incoming attacks.,"Chance, eingehenden Angriffen auszuweichen.",Probabilidad de evadir los ataques que recibes.,Chance d'esquiver les attaques.,有机会躲避来袭的攻击。
T_EVADE,Evade,Ausweichen,Evasión,Esquiver,避开
T_FAILED_LOAD,Failed to load ladder.,Rangliste konnte nicht geladen werden.,Error al cargar el modo Carrera,Erreur lors du chargement des données du Ladder.,加载梯子失败。
T_FASTBOOT,FastBoot,FastBoot,Reinicio rápido,Boot Rapide,快速启动
T_FINDERS_KEEPERS_DESCRIPTION,Install a part.,Installiere eine Komponente.,Instala una parte.,Installer un composant.,安装一个零件。
T_FINDERS_KEEPERS,Finders Keepers,Finderlohn,Guardianes del tesoro,Trouvé c'est trouvé,拾物者成了占有人
T_FINISH,Finish,Beenden,Finalizar,Finir,完成
T_FIRST_STEPS_DESCRIPTION,Install a part in every slot.,Installiere eine Komponente in jeden Steckplatz.,Instala una parte en cada ranura.,Installer un composant dans chaque emplacement disponible.,在每个插槽中安装一个零件。
T_FIRST_STEPS,First Steps,Erste Schritte,Primeros pasos,Premiers pas,第一步
T_FIRST_STRIKE_DESCRIPTION,Beat any level 25 or higher on your first turn.,Schaffe Level 25 oder höher in deiner ersten Runde.,Completa el nivel 25 o superior en tu primer turno.,Compléter 25 niveaux ou plus lors de votre premier run.,在你的第一个回合击败任何25级或更高的等级。
T_FIRST_STRIKE,First Strike,Erster Schlag,Primer golpe,Première Frappe,第一击
T_FLAG_BITSHIFT,Doubles your shields but reduces regeneration to zero.,"Verdoppelt deine Schilde, reduziert aber die Regeneration auf Null.",Duplica tus escudos pero reduce tu regeneración a 0.,Double vos boucliers mais réduit la régénération à zéro.,使你的护盾翻倍，但使再生能力降至零。
T_FLAG_DRIVE_BY_RANGED,Without adjacent enemies attack one at range upon moving.,Greife beim Bewegen ohne benachbarte Feinde einen in Reichweite an.,"Si no tienes enemigos adyacentes, ataca a uno a distancia cuando te muevas.","Si aucun ennemi adjacent, vous déplace puis attaque à distance.",没有相邻的敌人情况下，在移动时攻击范围内的一个。
T_FLAG_DRIVE_BY,Attack a random adjacent enemy after moving.,Greife beim Bewegen einen zufälligen benachbarten Feind an.,Ataca a un enemigo adyacente aleatorio tras moverte.,Vous déplace puis attaque un ennemi adjacent.,移动后随机攻击一个相邻的敌人。
T_FLAG_FASTBOOT,Gain 3 cycles in the first turn of each combat.,Du erhältst 3 Zyklen in der ersten Runde jedes Kampfes.,Gana 3 ciclos en el primer turno de cada combate.,Confère 3 cycles au premier tour de chaque combat.,在每次战斗的第一回合获得3个循环。
T_FLAG_PUSH_MINE,Leave a shock mine where you push.,Hinterlasse eine Schockmine wenn du schiebst.,Deja una mina de choque donde empujas.,Laissez une mine de choc où vous poussez.,留下一个震惊的地雷。
T_FLAG_POWERDODGE,Attack all adjacent enemies upon evading.,"Greife alle benachbarten Feinde an, wenn du ausweichst.","Al evadir, ataca a todos los enemigos adyacentes.",Attaque tous les ennemis adjacent après une esquive.,躲避时攻击所有邻近的敌人。
T_FLAG_SECUREBOOT,Gain 100% shields in the first turn of each combat.,Du erhältst in der ersten Runde jedes Kampfes 100% Schilde.,Gana un 100 % de escudos en el primer turno de cada combate.,Confère 100% de boucliers au premier tour de chaque combat.,在每次战斗的第一回合获得100%的护盾。
T_SHIELDBURN,Shieldburn,Schildverbrenner,Quemaescudo,Perce-boucliers,"
盾牌燃烧"
T_FLAG_SHIELDBURN,Attacks remove shields before dealing damage.,Angriffe entfernen Schilde,Los ataques eliminan los escudos antes de infligir daño.,Les attaques réduisent les boucliers à 0 avant de causer des dommages.,攻击在造成伤害前会移除护盾。
T_BULLSEYE,Bullseye,Volltreffer,Diana,Dans Le Mille,靶心
T_FLAG_BULLSEYE,Both you and your enemies cannot evade attacks.,"Angriffe treffen immer, auch die der Gegner.",Ni tú ni tus enemigos podrán evadir los ataques.,Votre chance d'esquiver et celle des ennemis tombent à 0.,你和你的敌人都无法躲避攻击。
T_FLAG_DOUBLE_EPIC,Doubles the chance of rolling epic parts on level 50+.,"Verdoppelt die Chance, epische Komponenten auf Stufe 50+ zu erhalten.",Duplica la probabilidad de conseguir partes épicas a partir del nivel 50.,Double les chances d'obtenir des composants légendaires dans les niveaux 50 +.,增加一倍50级以上的史诗部件的滚动机会。
T_FULLSCREEN,Fullscreen,Vollbild,Pantalla completa,Plein écran,全屏
T_GADGET,Gadget,Gadget,Artilugio,Gadget,小工具
T_GAMBLE,Gamble,Komponenten-Lotterie,Apostar,Loterie,赌
T_GAME,Game,Spiel,Juego,Jeu,游戏
T_GAMES,Games,Spiele,Partidas,Parties,游戏
T_GIGAGUN,Gigagun,Gigagewehr,Gigapistola,Giga-flingue,超级枪
T_GIGASPRITE,Gigasprite,Gigasprite,Gigasprite,Gigasprite,超级精灵
T_GIGASPRITE_BONUS,Gigasprite Bonus,Gigasprite-Bonus,Bonif. de Gigasprite,Bonus de Gigasprite,超级精灵奖励
T_GLASS_CANNON,Glass Cannon,Glaskanone,Cañón de cristal,Canon de verre,玻璃炮
T_GLITCH_DESCRIPTION,Has ranged attack.,Hat einen Fernkampfangriff.,Puede atacar a distancia.,Attaque à distance.,拥有远程攻击。
T_GLITCH,Glitch,Glitch,Fallo,Glitch,突发事件
T_GO_GO_GADGET,Go Go Gadget,Go Go Gadget,"Adelante, gadgeto",Go Go Gadget,加油！小工具
T_GUARD,Guard,Wächter,Guardia,Gardien,警卫
T_GUN,Gun,Kanone,Pistola,Fusil,枪
T_HARDWARE,Hardware,Hardware,Hardware,Matériel,硬件
T_HAT_TRICK_DESCRIPTION,Defeat three enemies with a single attack.,Besiege drei Gegner mit einem einzigen Angriff.,Derrota a 3 enemigos con un solo ataque.,Vaincre trois ennemis avec une seule attaque.,用一次攻击打败三个敌人。
T_HAT_TRICK,Hat Trick,Hattrick,Triplete,Tour de Chapeau,帽子戏法
T_HEALTH,Effective Health,Effektive Gesundheit,Curación efectiva,Santé actuelle,有效的健康
T_HELP,Help,Hilfe,Ayuda,Aide,帮助
T_HIDE_COMPLETED,Hide Completed,Abgeschlossene verstecken,Ocultar logros completados,Masquer les succès obtenus,隐藏已完成
T_HOLD_TO_CONFIRM,Hold to confirm,Gedrückt halten,Mantener > Confirmar,Maintenir appuyé pour confirmer,按住以确认
T_HOLY_GRAIL_DESCRIPTION,Find every legendary and set part.,Finde alle legendären und Set-Komponenten.,Encuentra todas las partes legendarias y de conjuntos.,Trouver tous les Composants Légendaires et de Set.,找到每一个传说中的和设定的部分。
T_HOLY_GRAIL,Holy Grail,Heiliger Gral,Santo Grial,Saint Graal,圣杯
T_HOLY_HAND_GRENADE,Holy Hand Grenade,Heilige Handgranate,Santa Granada,Sainte Grenade Sacrée,圣手榴弹
T_HUETURAMA,Hueturama,Farborama,Hueturama,Colorama,惠图拉马
T_IDLE,Idle,Leerlauf,Inactivo,Inactif,闲置
T_INBOX,Inbox,Inventar,Bandeja,Inventaire,收件箱
T_ITEMS,Parts,Komponenten,Partes,Composants,零件
T_KILOBYTE_DESCRIPTION,Tanky thanks to shields.,Langlebig dank Schild.,"Es muy resistente, gracias a sus escudos",Très résistant grâce à ses boucliers.,由于有盾牌，所以很有战斗力。
T_KILOBYTE,Kilobyte,Kilobyte,Kilobyte,Kilo-octet,千字节
T_LADDER_DESCRIPTION,Start from scratch in a weekly online ladder.,Beginne von vorn in einer wöchentlichen Online-Rangliste.,Empieza el modo Carrera semanal en línea desde el principio.,Commencer de zéro dans le mode compétitif hebdomadaire en ligne.,在每周的在线阶梯中从头开始。
T_LADDER_DONE,Replaying this ladder overwrites your progress.,Ein neues Spiel überschreibt deinen vorherigen Fortschritt in dieser Rangliste.,"Si vuelves a jugar esta Carrera, se sobreescribirá tu progreso. ",Rejouer dans cette Compétition efface votre progrès actuel.,重放这个梯子会覆盖你的进度。
T_LADDER_EMPTY,No ladder entries yet. Be the first!,Noch keine Ranglisten-Einträge. Sei der Erste!,Aún no hay entrada en el modo Carrera. ¡Sé el primero!,Aucun classement de joueur enregistré. Soyez le premier !,还没有梯子。成为第一个!
T_LADDER_LOCKED,Beat level 25 in normal to unlock.,Verfügbar nach Level 25 im Normal-Modus.,DESBLOQUEO: supera el nivel 25 en Normal,Compléter le niveau 25 en mode normal.,在正常情况下击败25级，即可解锁。
T_LADDER,Ladder,Rangliste,Carrera,Compétitif,梯子
T_LASER,Laser,Laser,Láser,Laser,激光
T_LEGACY_DESCRIPTION,Save a part in the archive.,Lagere eine Komponente im Archiv.,Guarda una parte en el archivo.,Sauvegarder un composant dans l'Archive.,在档案中保存一个部分。
T_LEGACY,Legacy,Vermächtnis,Legado,Héritage,遗产
T_LEGENDARY_VARIABLE,Legendary Variable,Legendäre Variable,Variable legendaria,Variable Légendaire,传说中的变量
T_LEVEL_BEATEN,Level Beaten,Level geschafft,Nivel completado,Niveau Complété,被打败的水平
T_LEVEL_RECORD,Level Record,Level-Rekord,Récord del nivel,Record de niveau,等级记录
T_LEVEL,Level,Level,Nivel,Niveau,级别
T_LIGHTSUCKER,Lightsucker,Lichtsauger,Aspiraluz,Absorbeur de Lumière,灯光
T_LOADING,Loading...,Laden...,Cargando...,Chargement ...,正在加载...
T_LOOT_BONUS_DESCRIPTION,Increases the amount of loot found.,Erhöht die Menge an Beute.,Aumenta la cantidad de botines encontrados.,Augmente la quantité de butin.,增加发现的战利品的数量。
T_LOOT_BONUS,Loot Bonus,Beute-Bonus,Bonif. de botín,Bonus de Butin,战利品奖励
T_LOOT,Loot,Beute,Botín,Butin,掠夺
T_MACRO_DESCRIPTION,Has a high chance to counter-attack.,Hohe Chance auf Konter-Angriffe.,Tiene una alta probabilidad de contraatacar.,Possède une chance de riposte élevée.,有很高的反击机会。
T_MACRO,Macro,Makro,Macro,Macro,宏
T_MATERIAL_BONUS_DESCRIPTION,Increases the amount of kernels gained.,Erhöht die Menge der gewonnenen Kerne.,Aumenta la cantidad de kernels encontrados.,Augmente la quantité de Kernels gagnés.,增加获得的内核数量。
T_MATERIAL_BONUS,Kernel Gain Bonus,Kerne-Bonus,Bonif. de ganancia de kernels,Bonus de Kernels,内核增益奖励
T_MATERIALS,Kernels,Kerne,Kernels,Kernels,内核
T_MAX_AP_DESCRIPTION,Amount of cycles you have per turn. Rounded down. Capped at 10.,Anzahl der Zyklen pro Runde. Abgerundet. Begrenzt auf 10.,Cantidad de ciclos que tienes por turno (redondeado hacia abajo). Cantidad máxima: 10.,Quantité de cycles disponibles par tour. Arrondi à l'inférieur. Max 10.,你每回合的循环量。四舍五入。上限为10。
T_MAX_AP,Cycles,Zyklen,Ciclos,Cycles,循环
T_MAXED_DESCRIPTION,Augment a variable to the max.,Erhöht eine Variable auf das Maximum.,Aumenta una variable al máximo.,Augmenter une variable au maximum.,将一个变量扩增到最大。
T_MAXED,Maxed,Maximal,Al máximo,Maximisé,最大
T_MEGASPRITE_BONUS,Megasprite Bonus,Megasprit-Bonus,Bonif. de megasprite,Bonus de Mégasprite,巨型精灵奖金
